sentence1,sentence2,label
"Izvietojusies pagasta ziemeļdaļā pie autoceļa V1196 4 km no pagasta centra Vecpils, 30 km no novada centra Grobiņas un 184 km no Rīgas.",Latvijas Ģeotelpiskās informācijas aģentūra.,0
Singls ir no Cascada pirmā studijas albuma ar tādu pašu nosaukumu — Everytime We Touch.,"Cascada singls ""Everytime We Touch"" pasaules valstu un reģionu topos.",0
Šobrīd (2016) tā ir valdošā partija Polijā.,"Ārpolitikā partija ir par labu attiecību uzturēšanu ar ASV, tā atbalstīja Irākas karu.",0
Stiepjas ziemeļu — dienvidu virzienā ~50 km garumā.,"Ziemeļos no kalniem okeāna krastā atrodas Austrālija polārstacija Mosona, kuras trīs lauka nometnes ierīkotas Framnēsa kalnos.",0
Tā galvenais birojs atrodas Viļņā.,"Meitas uzņēmumi: SIA Ignitis Latvija (Latvija) Ignitis Polska sp. z o.o. (Polija) Ignitis Eesti OÜ (Igaunija) Ignitis Suomi Oy (Somija) UAB Gamybos Optimizavimas (100 %) UAB NT Valdos (100 %), nekustamā īpašuma pārvaldīšana, iznomāšana un uzturēšana UAB Energetikos paslaugų ir rangos organizacija (EnePRO; 100 %), enerģētikas aprīkojuma būvniecība, rekonstrukcija, remonts un uzturēšana UAB Ignitis grupės paslaugų centras (T/C; 100 %), informācijas tehnoloģiju, telesakaru un citi pakalpojumi grupas uzņēmumiem.",0
"Grupa sastāv no 9 dalībniecēm: Najonas, Džongjonas, Momo, Sanas, Džihjo, Minas, Dahjunas, Čejongas un Tzujū Grupa debitēja 2015.","gada 20. oktobrī ar minialbumu The Story Begins. 2016 beigās tika pārdotas vairāk nekā 1 000 000 albuma kopijas. 2017. gadā grupa kļuva vēl populārāka ar dziesmu 'Likey', kura 10 nedēļas pēc kārtas bija topā Korean Broadcasting System mūzikas televīzijas programmā 'Music Bank'. Twice ieguva 3. vietu 'Top Artist' kategorijā (Billboard Japan's 2017 Year-End Rankings).",0
"Izvietojies pagasta austrumu daļā pie autoceļa V926 5,5 km no pagasta centra Sunākstes, 36 km no novada centra Aizkraukles un 122 km no Rīgas.",Latvijas Ģeotelpiskās informācijas aģentūra.,0
Darbojās galvenokārt pie šķidrās degvielas raķešdzinēju izstrādes un to praktiskas pielietošanas.,"RP-1 bija sērijas planieris BIČ-11, apgādāts ar dzinēju OR-2. 1933. gada beigās GIRD tika apvienota ar Ļeņingradas Gāzu dinamisko laboratoriju, un uz to bāzes tika organizēts Reaktīvais institūts.",0
Sastopama Kamerūnā un Dienvidāfrikā.,"Sinonīmi: Mytilaspis aberrans Vayssière, 1913 Triaspis aberrans MacGillivray, 1921 Lepidosaphes aberrans[novecojusi saite].",0
Goja bija portretists un Spānijas galma gleznotājs.,Gojam bija daudz draugu spāņu aristokrātijas aprindās.,0
"Naftalskābe ir balta, kristāliska viela (adatveida kristāli no etanola), kas grūti šķīst ūdenī.","Naftalskābes īpašības ir visai līdzīgas ftalskābes īpašībām, piemēram, tā viegli veido iekšējo anhidrīdu (tas kūst 274 °C temperatūrā).",0
"Turnīrā piedalās 64 komandas, tai skaitā visas Bundeslīgas komandas.","Pašreizējie kausa ieguvēji (2024. gadā) ir Leverkūzenes ""Bayer"" futbolisti.",0
"Piedalījusies divās Olimpiskajās spēlēs (2008, 2012), gan 2008.","gadā Pekinā, gan 2012. gadā Londonā izcīnījusi zelta medaļu daudzcīņā, kļūstot par pirmo sportisti ar divām mākslas vingrošanas daudzcīņas zelta medaļām. Ar 17 Pasaules un 13 Eiropas čempiones tituliem viņa ir abu sacensību zelta medaļām bagātākā sportiste. 2009. gada Pasaules čempionātā kļuva par pirmo mākslas vingrotāju, kas uzvar visās sešās disciplīnās, 2011. gadā atkārtoja šo panākumu.",0
Bāka ietilpst Mūgas vadlīnijā un atrodas 500 m no priekšējās vaduguns.,"Bāka darbojas visu gadu, diennakts tumšajā laikā.",0
"A grupas pirmo divu vietu ieguvēji iekļuva elites divīzijā, bet B grupas uzvarētāji kvalificējās uz A grupu.","Itālija▼  Kazahstāna▼  Japāna*  Ukraina*  Ungārija*  Polija†^ * automātiski kvalificējas 2015. gada Pasaules hokeja čempionāta 1. divīzijas A grupā ^ kvalificējas, uzvarot 2014. gada Pasaules čempionātā hokejā 1. divīzijas B grupā † rīkotāji ▼ kvalificējās izkrītot no 2014. gada Pasaules čempionāta hokejā elites divīzijas Avots: (H) Mājinieki; (P) Paaugstināts; (R) Pazemināts.",0
Tajās runāja mūsdienu ziemeļu Kalifornijā un dienvidu Oregonā.,"Cambridge: Cambridge University Press, 1999.",0
Tas tikai izdots 2008.,gada 5. maijā bez iepriekšējas albuma reklāmas un jebkādas citas norādes par tā izdošanu. Visus skaņdarbus sarakstīja Trents Reznors.,0
"Komunistu partijas loceklis (1961–1992), Albānijas Tautas Sociālistiskās Republikas parlamenta prezidija priekšsēdētājs (no 1982.","līdz 1991. gadam), viņa nokļūšanu šai postenī veicināja iepriekšējā līdera Envera Hodžas atbalsts, kurš uzskatīja viņu par pilnvērtīgu militārās līnijas sekotāju un novērtēja viņa atbalstu Albānijas ieturētajai pašaizsardzības un pašapgādes līnijai ārpolitikā, viņu atbalstīja arī Hodžas sieva Nekšmije. 1992. gadā viņu kopā ar vairākiem citiem komunistiskās partijas bijušiem līderiem apcietināja. 1994. gadā piesprieda deviņu gadu cietumsodu par nelīdzvērtīgu līdzekļu sadali, kopā ar viņu sodīja premjeru Adilu Sarsani, kā arī viceprezidentu Roto Marko. Alia, Ramiz.",0
"Kurzemes, Zemgales un Sēlijas vēsturiskās zemes atradās Kurzemes un Zemgales hercogistes sastāvā.",Vidzemē valdīja Krievijas impērijas ķeizars Pēteris II.,0
Līgums ir noslēgts uz 25 gadiem.,"Nākamais mēģinājums noregulēt franču un sīriešu attiecības bija 1936. gadā, kad tika noslēgts jauns Franču—sīriešu līgums.",0
"Ap 100 m uz ziemeļrietumiem no Cucuru Jaunās kapsētas ir līkumots, šaurs un augsts paugurs, kas orientēts ziemeļaustrumu-dienvidaustrumu virzienā.","Latvijas kultūras akadēmijas pētījums ""Pilskalnu jaunatklājumi Latvijā 2018.-2021.gadā: kultūrvēsturiskā nozīmība"".",0
"Pašlaik (2024) Rosens pārstāv Zviedrijas hokeja līgas komandu Vekšes ""Lakers"".",Zviedrijas hokeja izlases sastāvā ir spēlējis 2016. gada Pasaules čempionātā.,0
"Pašlaik (2017) Kārlsons spēlē Kontinentālās hokeja līgas kluba Astanas ""Baris"" sastāvā.","Tad pievienojās Astanas ""Baris"".",0
Pirmās ziņas par Svilušo kalnu kā par pilskalnu 1925.,gadā sniedza O. Datējums pagaidām nav zināms.,0
Parasti ezera gultne ir sausa.,"Tajā brīdī, kad ezerā ir ūdens, tā ir visnozīmīgākā ligzdošanas vieta Austrālijā endēmam putnam Cladorhynchus leucocephalus. 1869. gadā atklājis Džons Forests, meklējot pazudušo Ludviga Leihharda ekspedīciju. 19. martā viņa ekspedīcija iemaldījās purvājos ezera gultnē un maldījās pa ezera gultni gandrīz nedēļu. 25. martā grupa sasniedza nelielu pauguru un no tā bija redzams, cik liels šis ezers patiesībā ir.",0
"Praksē tā tomēr cenšas sasniegt arī kādus politiskos mērķus, piemēram, atjaunot likumdošanas struktūru Morāvijas teritorijai.",Tā arī organizē Morāvijas patriotu gājienus un kultūras svētkus.,0
Sistēma sastāv no trim daļām.,"Ar RFID skeneru iebūvēta veikala ratiņš [16] Eksperimentāls sortešānas ceļš ar iebūvētu RFID skeneru [17] Arhivēts 2009. gada 26. novembrī, Wayback Machine vietnē.",0
Pirmo šaha uzdevumu sastādījis 1931.,"gadā, bet vispār sastādījis apmēram 150 šaha kompozīcijas. Ka3-a4 Zd3-c5# Īsa biogrāfija vietne Chess Composers (angliski) H.",0
"Tas atrodas pagasta centrā pie autoceļa P55 3,9 km attālumā no pagasta centra Čornajas, 12,5 km — no novada centra Rēzeknes un 258 km — no Rīgas.",Rēzeknes novada pašvaldība Latvijas PSR administratīvi-teritoriālais iedalījums uz 1972. gada 1. janvāri.,0
Halle tika atklāta 1996.,"gada 11. septembrī. Savas mājas spēles tajā aizvada Nacionālās hokeja līgas komanda Bufalo ""Sabres"".",0
Viņam ir lieli nopelni tautiskās atmodas laikmeta tradīciju veidošanā un uzturēšanā.,"Džo, Jāzepa Grosvalda dzīve un māksla.",0
Tas pirmoreiz parādījās 1979.,"gadā, kad UUCP tika iekļauts UNIX 7. versijā. To lieto dārgos sakaru savienojumos (piemēram, pavadoņsakaru savienojumos).",0
"Savu karjeru sācis Austrijas komandā Rapid Wien, kuras rindās viņš izcīnīja vienu Austrijas Bundeslīgas čempionu titulu.",Piedalījies 2008. un 2016. gada Eiropas čempionātā.,0
Pašlaik (2022) pārstāv Oberlīgas klubu Herforder EV Karjeru sācis 2007.,gadā SK Rīga 18 sastāvā Latvijas otrajā līgā. Pārstāvējis Latvijas U-20 izlasi.,0
"Tenisisti varēja startēt 4 disciplīnās: vīriešu un sieviešu vienspēles, vīriešu, sieviešu dubultspēles.","Sieviešu vienspēlēs piedalījās 64 sportistes no 30 valstīm, bet sieviešu dubulstspēlēs startēja 32 tenisistu pāri no 32 valstīm.",0
Muižas pastāvēja līdz 1920.,"gada agrārajai reformai, kad tās tika likvidētas un bijušajiem īpašniekiem reizumis tika atstāti vienīgi muižu centri. 1925. gada 1. aprīlī no Ludzas apriņķa ziemeļu daļas pagastiem un no Krievijas pievienotajām teritorijām izveidoja Jaunlatgales apriņķi. Balvu muižas kungu māja pirms pārbūves (20. gs. sākums) Viļakas muižas kungu māja (1918) Šķilbēnu muižas kungu māja (2007) Latviešu konversācijas vārdnīcas XIV. sējuma 28051-28097 slejas.",0
Pašlaik (2024) Storms pārstāv Vācijas hokeja līgas komandu Ķelnes Haie.,Dānijas hokeja izlases sastāvā piedalījies četrpadsmit Pasaules čempionātos.,0
Ābolu iela — iela Ogres novada Ogrē.,Ābolu iela — iela Ropažu novada Garkalnes pagasta Sužos.,0
"Kantona administratīvais centrs ir Ārava, lai gan lielākā pilsēta ir Vetingene.",Administratīvi sīkāk Ārgavas kantons dalās 11 apgabalos.,0
Pašlaik (2021) Diļevka spēlē Somijas pēc spēka ceturtās spēcīgākās līgas komandā Kraft.,Liepājas sastāvā kļuva par 2015.—16. gada sezonas rezultatīvāko Latvijas čempionāta spēlētāju.,0
"Pazīstams ar tādām filmām kā film noir žanra filmām Odd Man Out (1947) un ""Trešais cilvēks"" (1949), mistērijas trilleri ""Kritušais elks"" (1948) un ""Oliver!"" (Oliver!, 1968).","Britu kinoinstitūts ""Trešais cilvēks"" nodēvēja par 20. gadsimta labāko britu filmu.",0
Aģentūra ir arī organizācija kurā strādā aģentu kopums.,"Otrs piemērs - uz starptautiskās arēnas ir pazīstama Starptautiskā Civilās aviācijas organizācija (ICAO, angļu: International Civil Aviation Organization), kura vienlaikus ir Apvienoto Nāciju Organizācijas (ANO) izveidota aģentūra un darbojas ar aviācijas drošību saistītiem jautājumiem visā pasaulē.",0
"Planētas orbītas tuvākā punkta attālums no zvaigznes ir 1,941 AU, bet tālākā — 2,365 AU.","Ekvatora rajonā (liels attālums līdz zvaigznei)vasaras būtu ļoti aukstas un ar sniegputeņiem un ilgas, bet ziemas — aukstas ar nedaudzajām sniega vētrām rudens pusē, diezgan plānu sniega segu (mitrums no okeāniem) un, protams, ilgas, jo gads uz šīs planētas ilgst 1076,388 zemes dienas.",0
"UNESCO sarakstā no Mozambikas ir iekļauta 1 vieta (dabas objekts), savukārt 4 vietas ir iekļautas oficiālajā kandidātu sarakstā.",Mozambika Pasaules mantojuma konvenciju ratificēja 1982. gada 27. novembrī.,0
"Paleografijas uzdevums ir izzināt rakstības vēsturi, izzināt tekstu, noteikt autoru, sarakstes laiku un vietu, noteikt rakstu autentiskumu.","Paleogrāfijā ir šādas pētniecības metodes: grafiskā analīze (burtu vai rakstības veids); detaļu analīze (pieturzīmes, pirmo burtu noformējums, cipari); materiālu analīze (pergaments attiecas uz vēlāku laiku, ūdenszīmes pēta filigrānisti).",0
"Tas ir pirmais, kas ierakstīts un izdots pēc solista Džima Morisona nāves.",Albumu iedziedāja Manzareks un ģitārists Robijs Krīgers.,0
Akmens zilo krāsu rada magnezioribekīta vai krokidolīta ieslēgumi.,"Ezotērikā zilo kvarcu uzskata par akmeni, kas nomierina, veicina organizatoriskās spējas, pašdisciplīnu.",0
Līdz gada beigām ir atlikušas 284 dienas.,"Dziedra, Gabriela, Gabriels, Tamāra 1873. gads — Spānijas Nacionālā asambleja pieņēma likumu, ar kuru tika atcelta verdzība Puertoriko. 1894. gads — notika pirmā Stenlija kausa izcīņas izslēgšanas spēle. 1933. gads — ASV prezidents Franklins Rūzvelts pieņēma likumprojektu, ar kuru legalizēja alus un vīna tirdzniecību. 1939. gads — Otrais pasaules karš: Vācija okupēja Lietuvai piederošo Klaipēdas apgabalu. 1943. gads — Otrais pasaules karš: Vācijas karaspēks nodedzināja Baltkrievijas ciemu Hatiņu (Хаты́нь), dzīvus sadedzinot visus tā iedzīvotājus. 1945. gads — dibināta Arābu valstu līga. 1993. gads — Intel izlaida pirmo Pentium mikroprocesoru. 1995. gads — kosmonauts Valērijs Poļakovs atgriezās uz Zemes, uzstādot kosmosā uzturēšanās rekordu — 438 dienas. 1997. gads: Tāra Lipinska 14 gadu vecumā kļuva par jaunāko pasaules čempioni daiļslidošanā.",0
"Galvenās lomas atveido Džeks Bleks, Džeisons Momoa, Emma Maiersa, Denjela Brūksa, Sebastjans Jūdžīns Hansens un Dženifera Kūlidža.",IMDb profils (angliski) allmovie identifikators am125648 nav derīgs.,0
Virzienā Autoosta — Lāčplēša iela — Cietoksnis — Jaunforštadte — Ķīmiķu ciemats — Jaunbūve — Autoosta autobusi kursē pa šādām ielām: Lāčplēša iela — Cietokšņa iela — Valņu iela — Motoru iela — Cēsu iela — Odu iela — Vidzemes iela — Piekrastes iela — Rēzeknes iela — Aveņu iela — Arendoles iela — Aveņu iela — Vidzemes iela — Latgales iela — Višķu iela — Cialkovska iela — Jātnieku iela — Smilšu iela — Valkas iela — 18.,Novembra iela — Varšavas iela — Smilšu iela — Jelgavas iela — 18.,0
"Vuvei nozīmē dabisku darbību jeb darbības esamību, neveicot darbību.","Piemēram, planētas rotē — tās vienkārši rotē, bet tās pašas nepiespiežas, lai rotētos, vai koki aug, bet koki paši nedara augšanu.",0
Filmas režisors ir Konstantīns Ņedošivins.,Alise Danovska Dace Everss Mārtiņš Zariņš Oskars Morozovs Alise Broka Kristīne Belicka Sandra Kļaviņa «Zvaigžņotās debesis».,0
Filmas režisors ir Aivars Freimanis.,Kinodebija Ilzei Rudolfai.,0
Dienvidu iela 2.,Dienvidu iela 4.,0
Veidojies ap Gaujasrēveļu kartona fabriku.,Latvijas Ģeotelpiskās informācijas aģentūra.,0
Tajā dzīvo vairāk kā viens miljons iedzīvotāju un tādēļ pēc iedzīvotāju skaita Stambulā tas ir viens no lielākajiem.,Arnavutkēja (Arnavutköy); Bogazkēja (Boğazköy); Boludža (Bolluca); Harači (Haraççı); Tašoluka (Taşoluk).,0
"Viņa varonību kaujas laukā apliecināja, tas, ka viņš bija apbalvots ar teju visiem apbalvojumiem, kurus varēja iegūt Trešā reiha bruņotajos spēkos.","Tēvija ""Atzinība drosmīgajam latviešu karavīram"" (29.08.44.) Arhivēts 2017. gada 15. februārī, Wayback Machine vietnē.",0
Administratīvi pakļauts Bučas rajonam.,Ukrainas derusifikācijas ietvaros pilsētciemata statuss nomainīts uz ciemata statusu.,0
Klubs dibināts 2012.,gadā. 2016. gada sezonā par mājas spēļu pamatlaukumu izvēlēts Brocēnu SC stadions. Komandas galvenais treneris ir itāļu futbola speciālists Raitis Liliensteins JFK Saldus ir dibināts 2012. gada martā. 2013. gadā klubs izcīnīja 2. vietu 2. līgas finālturnīrā un ieguva tiesības spēlēt 1. līgā.,0
Tajās piedalījās 23 vīriešu izlases (pamatturnīrā — 16).,PSRS izlases sastāvā sudraba medaļu izcīnīja Maigonis Valdmanis.,0
Jānis Larri dzimis Rīgā 1900.,"gada 15. februārī, 9 gadu vecumā kļuvis par bāreni, pēc tam klaiņojis, strādājis krogā, par pulksteņmeistara mācekli. Larri sarakstījis vēl vairākus stāstus gan pieaugušajiem, gan bērniem.",0
"Jangs sāka veidot mūziku pagrabā, savā dzimtajā pilsētā Ovatonnā, Minesotā.","Pēc diviem sevis izdotiem albumiem, tika arī izdots debijas albums zem liela leibla. 2009. gadā Owl City ieguva plašu popularitāti ar debijas albumu Ocean Eyes un tā singlu Fireflies.",0
Otrā versija tika izlaista 1993.,"gada sākumā. Winsock DLL bibliotēka nodrošina divas dažādas API: no ""augšas"" - Winsock 2.0 API, no ""lejas"" - Winsock Service.",0
Dzimis Upītes stolnika Kristapa Pšesdecka ģimenē.,Dēli piedalījās Tarnogrodas konfederācījā.,0
Lokauts sākās 1994.,"gada 1. oktobrī, bet beidzās 1995. gada 11. janvārī. Algu griesti gan tika ieviesti pēc nākamā - 2004-05 lokauta. 1994-95 sezonā 82 spēļu vietā komandas, katra, izspēlēja tikai 48.",0
Starp Zejtinburnu un vecpilsētu atrodas Jedikules cietoksnis.,Zejtinburnu iedalīta 15 mikrorajonos: Beštelsiza (Beştelsiz); Čirpidži (Çırpıcı); Gēkalpa (Gökalp); Kazličešme (Kazlıçeşme); Maltepe (Maltepe); Merkezefendi (Merkezefendi); Nuripašā (Nuripaşa); Sejitnizama (Seyitnizam); Sīmera (Sümer); Telsiza (Telsiz); Veliefendi (Veliefendi); Jenidogana (Yenidoğan); Ješiltepe (Yeşiltepe).,0
"Vislabāk pazīstams ar lomām Roberta De Niro filmā ""Bronksas stāsts"" (A Bronx Tale, 1993), Vudija Allena filmā ""Lodes pār Brodveju"", par ko viņš nominēts Amerikas Kinoakadēmijas balvai kategorijā ""Labākais aktieris otrā plāna lomā"" un situāciju komēdijseriālā ""Amerikāņu ģimenīte"".","Piedalījies arī filmās ""Parastie aizdomās turamie"" (1995), Jade (1995), ""Mazais Stjuarts"" (1999), ""Psihoanalīze gangsteru gaumē"" (1999), ""Bēgt neatskatoties"" (Running Scared, 2006) un ""Leģenda"" (2015).",0
Veidojas monosaharīdu polikondensācijas reakcijā.,"Lai arī hitīna sastāvā ir arī slāpeklis, struktūras līdzības dēļ to tomēr pieskaita pie ogļhidrātiem.",0
Šis ir grupas 23.,singls; tika izdots 1989. gada 29. augustā. Albuma Violator pirmais singls.,0
"Virslīgas sezona, kas sākās 2001.","gada aprīlī, bet noslēdzās novembrī. Par labākajiem vārtu guvējiem kļuva Mihails Miholaps un Aleksandrs Katasonovs, katrs gūstot pa 23 vārtiem.",0
"Jasmonāti augos regulē ļoti daudzas fizioloģiskās norises, piemēram augšanu, attīstību, fotosintēzi un vairošanās spējas.","Journal of Plant Growth and Regulation. 7: 203—11 Hause, Bettina; Schaarschmidt, Sara (1 September 2009). ""The role of jasmonates in mutualistic symbioses between plants and soil-born microorganisms"".",0
"Reljefs ir salīdzinoši viendabīgs dabas ģeogrāfijas ziņā, pārsvarā līdzens un paugurains.","Lielākās pilsētas ir Varna, Ruse, Plevena, Dobriča un Šumena.",0
"Spēlējis aizsarga pozīcijā, pārstāvējis Somijas futbola izlasi.","Kā treneris vadījis Bayer Leverkusen, Brighton & Hove Albion un Zürich.",0
"MKAD ir saīsinājums no vārdiem ""Minskas apvedceļš"" baltkrievu valodā Мінская кальцавая аўтамабільная дарога.","Autoceļa sākotnējais ātruma ierobežojums bijis 120 km/h, taču neskaitāmo negadījumu dēļ tas ir ticis pazemināts uz 90 kilometriem stundā.",0
"Baltijas Kausa izcīņas turnīrs starp Igaunijas, Latvijas un Lietuvas telpu futbola izlasēm, kurš norisinājās no 2010.",gada 13. decembra līdz 15. decembrim Ogrē un Rīgā. Par Baltijas Kausa ieguvēju otro reizi pēc kārtas kļuva Latvijas izlase.,0
Gada deviņdesmit pirmā diena ir 1.,aprīlis (garajā gadā 31. marts). Ķīmisko elementu periodiskā tabulā deviņdesmit viens ir protaktīnijs (Pa) atomskaitlis.,0
Uz 1000 nosēšanās gadījumiem notiek vidēji 1–3 atteiktas nosēšanās.,"Nosēšanās tiek pārtraukta un aiziešana otrā aplī tiek veikta arī mācību nolūkos, tas ļoti bieži tiek praktizēts militārajā aviācijā.",0
Pēc nopostīšanas Livonijas kara laikā 1577.,"gadā to vairs neatjaunoja. 1838. — 1843. gadā uz pilsdrupām uzcēla Gulbenes evaņģēliski luterisko baznīcu. Die Burgen in Estland und Lettland Arhivēts 2021. gada 26. augustā, Wayback Machine vietnē..",0
"US EPA (United States Environmental Protection Agency) apstiprinājusi vidē atrodamo plastmasas daļiņu dalījumu ‘mikro-‘, ‘mezo-‘, ‘makro-‘ un ‘mega-‘, kas atbilst plastmasas daļiņu izmēriem < 5 mm, 5 — 20 mm, > 20 mm un > 100 mm.",The Present and Future of Microplastic Pollution in the Marine Environment.,0
"Lapa, kura sevi dēvē par News for Nerds.","Slashdot 1997. gadā kā blogu Chips & Dips dibināja Houpas koledžas datorzinātņu studenti Robs Malda, zināms kā Commander Taco, un Džefs Beitss, zināms kā Hemos.",0
Tas tika laists pārdošanā pēc singla Restless un albuma Enter izdošanas 1998.,"gadā. Albumā ir oriģināldziesmas — The Dance, Another Day un The Other Half (of Me), kā arī dažu dziesmu aranžējumi no albuma Enter.",0
"Tā ir dzimtā valoda nelielai daļai pilsētu (Vilas un Luganvilas) iedzīvotāju, bet kā otro valodu to prot lielākā daļa Vanuatu iedzīvotāju.","Pacific Linguistics, A-57:51-117.",0
Gājis bojā treniņlidojumā.,"Dažu sekunžu laikā lidmašīna nokrita, bet Frīmens nepaspēja katapultēties.",0
Surajeva pirmais kosmiskais lidojums SKS 21.,"ekspedīcijas sastāvā kā lidojuma inženierim notika no 2009. gada 30. septembra līdz 2010. gada 18. martam, startējot un nolaižoties ar kosmosa kuģi Sojuz TMA-16 (viņš arī Sojuz komandieris). Uz zemes atgriezās 2014. gada novembrī.",0
Maltas iela — iela Rīgā.,Maltas iela — iela Viļānos.,0
Salas platība ir mazāka par kvadrātkilometru un tur 2018.,"gadā dzīvoja ap 4400 iedzīvotāju. Tā kā Ortigijā praktiski nav autotransporta, tad salas lielākā daļa veido gājēju zonu.",0
Pašlaik (2023) pārstāv Latvijas čempionāta vienību HK Mogo.,"Junioru vecumā spēlējis 2005. gada Pasaules čempionātā U-18 jauniešiem, kā arī 2006. un 2007. gada Pasaules čempionātā junioriem. 2022. gada martā Gints Meija paziņoja par karjeras beigšanu Latvijas izlases sastāvā.",0
"Pazīstams kā balvu saņēmušu filmu Woman in a Dressing Gown (1957), Ice Cold in Alex (1958) un The Guns of Navarone (1961) režisors.","Bijis arī tādu filmu kā ""Baiļu rags"" (1962), What a Way to Go! (1964), Eye of the Devil (1966), Conquest of the Planet of the Apes (1972), Battle for the Planet of the Apes (1973), The White Buffalo (1977), Happy Birthday to Me (1981), 10 to Midnight (1983) un Death Wish 4: The Crackdown (1987) režisors.",0
"Filmas režisors ir Toms Hūpers, bet galvenās lomas atveido Hilarija Svonka un Čūetels Edžiofors.","Šīs aizstāvības laikā atklājas vairāki noslēpumi gan no Mpondo spīdzināšanas, gan Barkantas pagātnes.",0
"Internetā populāra kļuvusi žurnālista Andrāša Feldeša uzņemtā fotogrāfija, kas kļuvusi gan par humanitārās krīzes, gan netaisnīga kara ilustrāciju.","Aleteia. «""Madonna of Kyiv"" icon depicted in one of the churches of Naples». risu.ua. «Our Lady of Kiev: Ukrainian nursing woman becomes a symbol of worship».",0
Kabalā pietur Tapas (Tallinas) un Narvas virzienā kursējošie pasažieru dīzeļvilcieni.,Kopš 2000. gadu sākuma Kabalas stacijas ēka netiek izmantota.,0
Tā sastāv no trim pakāpēm.,Raķeti izmanto uzņēmums Sea Launch.,0
Beigusi Valsts teātra mākslas institūta Maskavā aspirantūru ar disertāciju par režisora un scenogrāfa mijiedarbību latviešu teātrī (1985).,"Kopā ar Zandu Borgu sarakstījusi pētījumu ""Režijas virzieni un personības Liepājas teātrī"" (2010).",0
Palaists no Baikonuras kosmodroma 2006.,"gada 18. septembrī 04:09 UTC. Mihails Tjurins komandieris (14. pamatekspedīcija)  Krievija Maikls Lopezs-Alegrija (Michael Lopez-Alegria) lidojuma inženieris (14. pamatekspedīcija)  ASV Anuše Ansari (Anousheh Ansari) lidojuma dalībniece (11. viesekspedīcija)  ASV Kā trešajam apkalpes loceklim bija jālido Daisuke Enomoto (Japāna), bet medicīnisku sarežģījumu dēļ lidojums tika atcelts, viņa vietā kosmosā devās dublieris — Anuše Ansari.",0
Skola izveidota 2018.,"gadā, apvienojot Valmieras vājdzirdīgo bērnu internātvidusskolu — attīstības centru ar Valmieras pilsētas speciālo pirmsskolas izglītības iestādi “Bitīte”. Pieaugot skolēnu skaitam, ierīkoja klases un internātu tuvumā esošajā pārbūvētajā rijā. 1881.-1882. gadā uz Meķa muižas zemes uzcēla jaunu skolas ēku. 1920. gadā to pārdēvēja par Valmieras Valsts kurlmēmo skolu, 1929. gadā iesvētīja jauno skolas ēku. 1958. gadā skolu pārdēvēja par Valmieras vājdzirdīgo bērnu internātskolu, 1962. gadā atklāja jaunu internāta korpusu. 1998. gadā tai piešķīra nosaukumu Valmieras vājdzirdīgo bērnu internātskola — attīstības centrs, 2004. gadā pārveidoja par internātpamatskolu, bet 2010. gadā par internātvidusskolu. 2018. gadā pievienoja Valmieras pilsētas speciālo pirmsskolas izglītības iestādi “Bitīte” un nosauca par Valmieras Gaujas krasta vidusskolu — attīstības centru.",0
